testCaseId,account_number_from,iban,payeename,amount,currency,bic,accountno,clearingcode,clearingchannel,companyname,country
TC_TCIB_PAYMENT_001,77895,,,,,,,,,,
TC_TCIB_PAYMENT_002,78131,,,,,,,,,,
TC_TCIB_PAYMENT_003,78131,,,,,,,,,,
TC_TCIB_PAYMENT_004,78131,,,,,,,,,,
TC_TCIB_PAYMENT_005,78131,,,,,,,,,,
TC_TCIB_PAYMENT_006,78131,,,,,,,,,,
TC_TCIB_PAYMENT_007,78131,,,,,,,,,,
TC_TCIB_PAYMENT_008,78131,,,,,,,,,,
TC_TCIB_PAYMENT_009,78131,,,,,,,,,,
TC_TCIB_PAYMENT_010,77895,,,,,,,,,,
TC_TCIB_PAYMENT_011,78131,,,,,,,,,,
TC_TCIB_PAYMENT_012,77895,DE89370400440532013000  ,Abdul,10,USD,,,,,,
TC_TCIB_PAYMENT_013,77895,DE89370400440532013000  ,Abdul,10,USD,BARCGB22,123456789,,,,
TC_TCIB_PAYMENT_014,77895,DE89370400440532013000  ,Abdul,10,USD,,123456789,CTBAAU2S,IFSC,,
TC_TCIB_PAYMENT_015,84147,DE89370400440532013000  ,George,1,USD,,,,,,
TC_TCIB_PAYMENT_016,78131,DE89370400440532013000  ,George,1,USD,BARCGB22,123456789,,,,
TC_TCIB_PAYMENT_017,84147,DE89370400440532013000  ,George,10,USD,,123456789,CTBAAU2S,IFSC,,
TC_TCIB_PAYMENT_018,77895,,,10,USD,,,,,Airtel,
TC_TCIB_PAYMENT_019,77895,,,10,USD,,76104,12345,,Airtel,
TC_TCIB_PAYMENT_020,84147,,,10,USD,,,,,Airtel,
TC_TCIB_PAYMENT_021,84147,,,10,USD,,76104,12345,,Airtel,
TC_TCIB_PAYMENT_022,77895,DE89370400440532013000  ,Abdul,10,USD,BARCGB22,123456789,,,,US - USA
TC_TCIB_PAYMENT_023,77895,DE89370400440532013000  ,Abdul,10,USD,,123456789,CTBAAU2S,IFSC,,US - USA
TC_TCIB_PAYMENT_024,84147,DE89370400440532013000  ,Abdul,10,USD,BARCGB22,123456789,,,,US - USA
TC_TCIB_PAYMENT_025,84147,DE89370400440532013000  ,George,10,USD,,123456789,CTBAAU2S,IFSC,,US - USA
